BankDto(id=1, name=aviaf, address=address1)
BankDto(id=2, name=af, address=address1)
BankDto(id=3, name=af, address=bank2)
BankDto(id=4, name=bank4, address=new_street)
BankDto(id=5, name=bank6, address=new_street)
BankDto(id=6, name=bank6, address=new_street)
BankDto(id=7, name=bank6, address=new_street)
BankDto(id=8, name=bank6, address=new_street)
BankDto(id=9, name=bank6, address=new_street)
BankDto(id=10, name=bank6, address=new_street)
BankDto(id=11, name=bank6, address=new_street)
BankDto(id=12, name=bank6, address=new_street)
BankDto(id=13, name=bank6, address=new_street)
BankDto(id=14, name=bank6, address=new_street)
